,STAT5A,STAT5B,STAT4,IRF1,STAT3,IRF2,STAT1,IRF8,STAT6,IRF4,IRF3,IRF5,STAT2,IRF7,IRF9,IRF6,unannotated_1
CDKN1B,0.0,-0.0039780787,0.00042238692,0.0,-0.0063851485,-0.00010795655,0.00022751745,0.0,-0.0003298035,-0.0038759843,0.0,0.00039645945,0.0,0.00014148862,-0.000121170655,0.0,-0.0050296276
CCND2,0.0029654335,0.0014319947,0.0,7.663872e-06,-0.010201402,0.0,2.1965896e-05,0.0,0.0,0.0005174499,0.0,2.7978283e-05,0.0,-3.2361837e-05,-0.0046290397,0.0,-0.013129799
MSR1,-0.0003142312,0.0,0.0,-0.00015027612,0.0,0.0,-0.0017674386,0.0,0.00048755895,0.0,-5.835649e-05,3.822096e-07,0.011552041,0.0,-2.331484e-05,0.0,0.01607192
BCL2,0.00088686217,0.0019413624,0.0,-0.0040131896,-0.0054600937,-3.2924763e-05,0.0,0.0031195115,-1.334242e-06,-5.6510185e-08,-0.00015372792,0.0,0.0,3.1036998e-06,0.0005138614,-0.0018312003,-0.004149235
LCK,0.0,-1.1821377e-06,-7.477531e-07,-0.03561286,0.0,0.0,0.0,0.0,-1.1903006e-06,-7.504442e-07,0.0,0.0,-8.394333e-08,-3.5296936e-05,0.0,0.00022580689,-0.048462216
ACAT1,0.0,-0.00071521645,0.0,0.0,-0.00011176297,0.0,0.00021031445,0.0,-5.771613e-07,-8.66774e-05,0.0,0.0,-4.379389e-05,0.0,-2.1823363e-08,0.0,-0.0038283318
ACP5,0.0,9.994085e-05,0.0,-0.00018621197,0.0,0.0,-1.8107037e-06,0.0,1.3224277e-07,-0.0051692785,0.00027705595,0.0,0.0,-1.5933347e-05,0.0,0.0,0.018808376
TNFSF11,-0.0026101517,2.0583995e-05,2.834768e-06,0.0,0.0009567814,-0.000424099,0.0009443051,0.0006434192,0.0027649547,-0.0005502626,0.0,0.0,0.0,0.00041778194,0.0,0.0,-0.0010267806
SHC1,-0.002519757,0.00045297304,-0.000109188564,0.0,0.0,4.5055558e-07,0.0,0.0,-1.096667e-05,-0.00047845198,3.0390986e-06,0.0,0.0,4.9363252e-06,0.00035588827,8.491227e-06,0.003416144
PPIG,0.0,0.0024905186,-0.0001505049,-4.9777e-05,0.0,0.0,0.0,0.0,0.0,-3.638003e-07,0.0,-4.6275487e-05,0.0,-0.00027392094,2.4190935e-05,1.8661893e-05,-0.016179943
CTNND1,0.0,0.0,0.0,0.0027641007,0.0,0.0,0.0,9.216918e-06,6.0154427e-05,-0.00011967074,0.0,0.0,0.0,0.0,0.0,0.0,-0.00455173
CBL,-3.3847023e-06,0.0,0.0,-4.8331044e-06,0.0,-1.3432198e-05,0.00022093048,0.00012644185,0.0,-0.000107158776,0.0,0.0,0.0006835192,8.851166e-06,0.0,0.0,0.0038126945
CISH,0.0021850609,0.0025723255,0.0,0.0,0.003364807,-3.7232347e-08,-4.884938e-07,1.04621595e-05,-0.0017291155,0.0005379977,0.0020484459,4.3969078e-05,0.0,0.0,0.0,0.0,0.0020260653
