,STAT5A,STAT5B,STAT4,IRF1,STAT3,IRF2,STAT1,IRF8,STAT6,IRF4,IRF3,IRF5,STAT2,IRF7,IRF9,IRF6,unannotated_1
ECE1,6.203202e-05,0.001369306,0.0,3.7463283e-07,0.007721787,0.0,0.0,0.00086309825,8.186925e-06,0.0,0.00044708466,0.0,0.00066072226,0.0011911571,0.0,0.00030853372,0.0051775347
IRF7,0.0,0.00016626678,0.00047352747,0.0,1.4617334e-06,0.0005215679,0.012775805,0.00010016454,4.356027e-06,0.00013300084,0.020306507,6.569305e-06,0.0346663,0.0009964433,0.01914045,0.0,0.043344595
CCL2,0.03448811,0.00038434693,0.00015960734,0.035287023,0.03128358,0.0,0.0063500428,0.0,0.118786,0.0011226161,0.015592216,0.07036568,0.009598999,0.028767478,0.00012335704,1.2412668e-06,0.021401526
MMP7,0.0,0.00011203353,0.0008752174,0.00020037475,0.0039898576,5.9075686e-05,0.0040676515,0.00023912701,0.0013858919,0.0,0.0,0.0,0.00041194592,4.307736e-07,0.0,0.0,0.005840797
IFIT1,0.0,0.0,0.0,0.00070221786,0.0,0.0,0.03052122,1.7765663e-07,0.0,0.0,0.02373872,0.0004956181,0.0,0.0009578853,0.018178277,0.000108153035,0.06918325
FCER2,0.0,4.1567655e-05,0.0,0.0,0.0,4.330713e-05,0.0,0.0002621919,0.003668932,0.0025909762,2.534116e-05,6.0898274e-05,0.0011181354,7.8752404e-05,4.7878456e-07,2.9548468e-05,0.005669434
ACACA,0.0041450276,3.1482305e-05,0.0,0.0003978639,0.0037006396,2.2315176e-05,0.00087756786,0.0,0.0,0.0,1.0904771e-05,0.0,1.0826922e-06,0.00032707723,0.0,0.00091196503,0.002466541
CCNB1,8.841866e-05,0.0,0.0,0.0043617296,0.0,0.0005835102,0.0,0.0,0.0,0.005718587,0.0,0.0014511725,0.0,0.0,0.0,0.0,0.0037050124
CXCL9,0.0060911127,0.0048972173,0.0,0.0,0.0029678366,0.0,0.0048047127,0.00475947,0.0034434148,0.0035623328,0.0,0.0,2.766797e-06,0.0,0.0,0.0013239187,0.0042999894
RETNLB,0.0,0.00027949127,0.0,0.0,0.0,0.0,4.7187166e-07,0.00036828013,0.0069424016,0.0,0.0014478359,0.0,0.0,4.2014686e-05,1.5120129e-05,0.0,0.006649835
ISG15,0.0003610165,0.00014648483,0.0,0.0,0.0,0.00059037126,0.056401625,0.0013162487,0.0,1.4161931e-06,0.06339689,0.0,0.0,0.06474847,9.6052296e-05,0.0,0.1252645
S100A10,6.46224e-07,0.0,0.0,0.0,0.0,0.0,0.07489433,2.701363e-05,1.2363395e-05,0.00051106315,0.0,3.3597204e-05,0.0,0.0009545581,0.0004164457,0.00037819357,0.009410032
DPAGT1,0.0030451755,0.0063175736,0.0,4.6402074e-06,1.9503956e-05,2.9073233e-05,0.0,0.0,1.0470913e-05,0.0,6.883489e-06,0.0,0.0,0.0,0.00027355872,0.00013750936,0.0043955487
CD68,0.0008523363,0.0001740735,0.0,2.556058e-06,0.0,0.0,3.110435e-05,0.019585298,0.0,0.010612504,0.0,0.0,0.0,0.00015520913,1.4826274e-05,0.001468802,0.012851072
DLL1,0.004963438,1.0617945e-05,0.0,0.0,0.0005032158,0.0006741289,0.0,0.0,0.0,0.0,2.0920741e-05,0.0011044551,0.0,0.0012684072,1.2375992e-06,0.0,0.0050633503
EBF1,0.0029690445,0.0,9.667646e-07,7.611193e-05,0.0,0.00048250624,0.0,0.001341479,0.0015272178,0.0,0.0,0.0,1.35165055e-05,0.0,0.0,0.0,0.005491929
PAX5,0.0067539164,0.005549995,0.0004817069,0.0,0.0004370204,6.484367e-05,0.0,6.166857e-08,0.0,0.0005361914,7.6754965e-05,9.3152025e-08,0.0001391959,0.0,3.269613e-05,0.0,0.002128614
IFIT2,0.000372971,0.00058095297,1.3131044e-05,0.00019484876,0.0008368906,0.0,0.035243567,0.0,0.0,0.0,0.00311839,0.0,0.016733157,0.0,0.0,0.0,0.03950693
GAS1,0.004495778,0.0,0.0,0.0,0.0,0.0,8.328321e-08,0.0,0.0,0.0,0.0,9.303201e-06,0.00016622768,0.0,0.00029764132,0.0,0.0027368555
