iteration	tf	gene	wei	cond
0	IRF5	CEBPD	-0.0	control
0	STAT2	CEBPD	0.0	control
0	IRF7	CEBPD	0.0	control
0	IRF9	CEBPD	0.0	control
0	unannotated_1	CEBPD	-0.01541221	control
0	STAT5A	SH2D1A	-0.0	control
0	STAT5B	SH2D1A	-0.0	control
0	STAT4	SH2D1A	0.0	control
0	IRF1	SH2D1A	0.0	control
0	STAT3	SH2D1A	-0.012122267	control
0	GTF2I	SH2D1A	-0.0	control
0	STAT1	SH2D1A	-0.0	control
0	IRF8	SH2D1A	0.0	control
0	ELF1	SH2D1A	-0.0	control
0	IRF3	SH2D1A	-0.0	control
0	IRF5	SH2D1A	-0.0	control
0	STAT2	SH2D1A	0.0	control
0	IRF7	SH2D1A	-0.0	control
0	IRF9	SH2D1A	0.0	control
0	unannotated_1	SH2D1A	0.0091444785	control
0	STAT5A	IL10	0.009030835	control
0	STAT5B	IL10	-0.0053216987	control
0	STAT4	IL10	-0.009652838	control
0	IRF1	IL10	-0.01022925	control
0	STAT3	IL10	0.012276132	control
0	GTF2I	IL10	0.0	control
0	STAT1	IL10	0.0072450833	control
0	IRF8	IL10	0.008269266	control
0	ELF1	IL10	-0.013376196	control
0	IRF3	IL10	0.0	control
0	IRF5	IL10	0.010177874	control
0	STAT2	IL10	0.0	control
0	IRF7	IL10	0.0	control
0	IRF9	IL10	-0.0	control
0	unannotated_1	IL10	-0.0042278497	control
0	STAT5A	CDKN1B	0.0	control
0	STAT5B	CDKN1B	0.004972592	control
0	STAT4	CDKN1B	-0.0	control
0	IRF1	CDKN1B	-0.0	control
0	STAT3	CDKN1B	-0.007857156	control
0	GTF2I	CDKN1B	-0.0	control
0	STAT1	CDKN1B	-0.0018411895	control
0	IRF8	CDKN1B	0.0	control
0	ELF1	CDKN1B	0.014315375	control
0	IRF3	CDKN1B	-0.0	control
0	IRF5	CDKN1B	0.0	control
0	STAT2	CDKN1B	0.0	control
0	IRF7	CDKN1B	0.0	control
0	IRF9	CDKN1B	0.0021062968	control
0	unannotated_1	CDKN1B	0.01146113	control
0	STAT5A	CCND2	0.0021474077	control
0	STAT5B	CCND2	0.004166433	control
0	STAT4	CCND2	0.0	control
0	IRF1	CCND2	0.0	control
0	STAT3	CCND2	-0.008165941	control
0	GTF2I	CCND2	-0.0016500275	control
0	STAT1	CCND2	0.0	control
0	IRF8	CCND2	-0.0	control
0	ELF1	CCND2	0.0	control
0	IRF3	CCND2	0.0	control
0	IRF5	CCND2	-0.0	control
0	STAT2	CCND2	0.0	control
0	IRF7	CCND2	-0.0	control
0	IRF9	CCND2	-0.007924987	control
0	unannotated_1	CCND2	0.00795969	control
0	STAT5A	ERBB2	-0.0	control
0	STAT5B	ERBB2	-0.0	control
0	STAT4	ERBB2	0.0	control
0	IRF1	ERBB2	-0.0	control
0	STAT3	ERBB2	-0.0	control
0	GTF2I	ERBB2	-0.0	control
0	STAT1	ERBB2	-0.0	control
0	IRF8	ERBB2	-0.0	control
0	ELF1	ERBB2	-0.005004159	control
0	IRF3	ERBB2	-0.0	control
0	IRF5	ERBB2	-0.0	control
0	STAT2	ERBB2	-0.0	control
0	IRF7	ERBB2	-0.0	control
0	IRF9	ERBB2	0.0	control
0	unannotated_1	ERBB2	-0.0046992428	control
0	STAT5A	MSR1	0.0	control
0	STAT5B	MSR1	0.0	control
0	STAT4	MSR1	0.0	control
0	IRF1	MSR1	-0.0	control
0	STAT3	MSR1	-0.0	control
0	GTF2I	MSR1	-0.0	control
0	STAT1	MSR1	0.000680067	control
0	IRF8	MSR1	-0.0	control
0	ELF1	MSR1	-0.0	control
0	IRF3	MSR1	0.0	control
0	IRF5	MSR1	-0.0	control
0	STAT2	MSR1	-0.0029817163	control
0	IRF7	MSR1	-0.0	control
0	IRF9	MSR1	-0.0	control
0	unannotated_1	MSR1	-0.0063155238	control
0	STAT5A	BCL2	0.0014168026	control
0	STAT5B	BCL2	0.008182726	control
0	STAT4	BCL2	-0.0	control
0	IRF1	BCL2	0.0029749079	control
0	STAT3	BCL2	0.00034587533	control
0	GTF2I	BCL2	-0.0	control
0	STAT1	BCL2	0.0	control
0	IRF8	BCL2	0.00521278	control
0	ELF1	BCL2	0.0	control
0	IRF3	BCL2	-0.0	control
